Timestamp,Pair,Side,Trade Value,Price per Unit,Slippage %
2025-03-04 18:44:10,XRP/USD,S,61744,2.45600000,0.00
2025-03-04 18:51:24,XBT/USD,B,165680,86000.00000,0.00
2025-03-04 18:51:27,XRP/USD,B,158152,2.48000000,0.00
2025-03-04 18:51:42,XBT/USD,B,362018,86050.60000,0.00
2025-03-04 18:51:42,XBT/USD,B,379390,86050.60000,0.00
2025-03-04 18:51:42,XBT/USD,B,391500,86050.60000,0.00
2025-03-04 18:51:42,XBT/USD,B,413934,86050.60000,-0.06
2025-03-04 18:51:42,XBT/USD,B,285365,86050.60000,0.00
2025-03-04 18:51:56,XBT/USD,B,123220,86127.10000,-0.09
2025-03-04 18:51:56,XBT/USD,B,154032,86130.70000,-0.09
2025-03-04 18:51:56,XBT/USD,B,408333,86137.90000,-0.10
2025-03-04 18:52:23,XBT/USD,B,250000,86223.20000,-0.20
2025-03-04 18:52:23,XBT/USD,B,500001,86228.00000,-0.12
2025-03-04 18:52:23,XBT/USD,B,500000,86231.60000,-0.12
2025-03-04 18:52:50,SOL/USD,B,51333,142.00000,0.00
2025-03-04 18:52:50,SOL/USD,B,70884,142.00000,0.00
2025-03-04 18:53:03,XBT/USD,B,123280,86352.30000,-0.25
2025-03-04 18:53:42,ETH/USD,B,114723,2146.00000,0.00
2025-03-04 18:56:11,XBT/USD,B,173047,86523.70000,-0.35
2025-03-04 18:56:23,XBT/USD,B,129894,86525.00000,-0.34
2025-03-04 18:57:06,ETH/USD,S,119178,2151.95000,0.00
2025-03-04 18:57:07,XBT/USD,B,200030,86713.80000,-0.56
2025-03-04 18:57:10,XBT/USD,S,119148,86698.60000,-0.40
2025-03-04 18:57:10,XBT/USD,S,140948,86698.60000,-0.20
2025-03-04 18:57:15,XBT/USD,B,207183,86692.80000,-0.19
2025-03-04 18:57:51,XBT/USD,S,132954,86811.90000,-0.11
2025-03-04 19:01:55,XBT/USD,B,154810,86600.00000,0.11
2025-03-04 19:01:55,XBT/USD,B,126986,86600.00000,0.11
2025-03-04 19:02:33,XBT/USD,B,458972,86898.50000,-0.24
2025-03-04 19:02:50,XBT/USD,B,302438,86944.30000,-0.15
2025-03-04 19:03:18,XBT/USD,B,110565,87137.80000,-0.62
2025-03-04 19:03:23,XBT/USD,B,200030,87174.80000,-0.66
2025-03-04 19:03:32,XBT/USD,B,520917,87200.00000,-0.35
2025-03-04 19:03:39,XBT/USD,B,297008,87200.00000,-0.29
2025-03-04 19:03:39,XBT/USD,B,107253,87200.00000,-0.07
2025-03-04 19:03:40,XBT/USD,B,381622,87200.00000,-0.03
2025-03-04 19:03:53,XBT/USD,B,123271,87355.20000,-0.18
2025-03-04 19:03:53,XBT/USD,B,162016,87355.80000,-0.18
2025-03-04 19:04:27,ADA/USD,S,103325,0.943022,0.00
2025-03-04 19:04:27,ADA/USD,S,79265,0.943022,0.00
2025-03-04 19:05:08,XBT/USD,B,123112,87327.90000,-0.15
2025-03-04 19:05:34,XBT/USD,S,123080,87247.60000,-0.05
2025-03-04 19:05:34,XBT/USD,S,153828,87235.30000,0.14
2025-03-04 19:06:03,SOL/USD,S,61905,142.83000,0.00
2025-03-04 19:06:06,XBT/USD,S,250000,87196.80000,0.18
2025-03-04 19:06:06,XBT/USD,S,110805,87193.90000,0.15
2025-03-04 19:06:16,XBT/USD,S,123057,87122.80000,0.14
2025-03-04 19:07:04,XBT/USD,B,515464,87400.00000,-0.19
2025-03-04 19:07:10,XBT/USD,B,130793,87400.00000,-0.23
2025-03-04 19:07:17,XBT/USD,B,123256,87468.70000,-0.32
2025-03-04 19:07:17,XBT/USD,B,154115,87494.70000,-0.43
2025-03-04 19:09:10,ADA/USD,B,110267,0.950000,0.00
2025-03-04 19:09:34,XBT/USD,B,250000,87735.70000,-0.38
2025-03-04 19:10:34,XBT/USD,S,123493,87675.00000,-0.31
2025-03-04 19:10:34,ETH/USD,S,100000,2161.07000,0.00
2025-03-04 19:10:40,XBT/USD,S,101733,87562.60000,-0.11
2025-03-04 19:10:44,XBT/USD,S,500164,87500.00000,-0.01
2025-03-04 19:10:48,ADA/USD,S,197505,0.947000,0.00
2025-03-04 19:10:55,XBT/USD,S,500923,87500.00000,0.27
2025-03-04 19:11:18,ETH/USD,B,117863,2156.31000,0.00
2025-03-04 19:12:12,XBT/USD,B,246824,87654.30000,0.02
2025-03-04 19:12:12,XBT/USD,B,191612,87654.30000,-0.10
2025-03-04 19:12:37,SOL/USD,B,54853,143.00000,0.00
2025-03-04 19:12:38,XBT/USD,B,470697,87791.70000,-0.33
2025-03-04 19:13:46,XBT/USD,S,199815,87867.80000,-0.42
2025-03-04 19:13:46,XBT/USD,S,250000,87867.80000,-0.24
2025-03-04 19:13:46,XBT/USD,S,185581,87867.30000,-0.24
2025-03-04 19:13:51,XBT/USD,B,129814,87900.00000,-0.12
2025-03-04 19:14:27,ETH/USD,B,202000,2164.34000,-0.85
2025-03-04 19:14:27,ETH/USD,B,202001,2164.36000,-0.58
2025-03-04 19:14:27,ETH/USD,B,202000,2164.54000,-0.16
2025-03-04 19:14:33,XBT/USD,S,196683,87991.10000,-0.14
2025-03-04 19:14:54,XDG/USD,B,93569,0.200770300,0.00
2025-03-04 19:14:59,XBT/USD,B,109954,88000.00000,-0.15
2025-03-04 19:14:59,XBT/USD,B,138299,88000.00000,-0.15
2025-03-04 19:15:00,XBT/USD,B,176725,88034.50000,-0.15
2025-03-04 19:15:02,XBT/USD,B,120883,88030.10000,-0.04
2025-03-04 19:15:06,XBT/USD,B,321627,88034.50000,-0.04
2025-03-04 19:15:06,XBT/USD,B,325528,88034.50000,-0.04
2025-03-04 19:15:06,XBT/USD,B,295413,88034.50000,0.00
2025-03-04 19:15:06,XBT/USD,B,320078,88034.50000,-0.00
2025-03-04 19:15:06,XBT/USD,B,289019,88034.50000,0.00
2025-03-04 19:15:33,SOL/USD,S,119861,142.93000,-0.65
2025-03-04 19:15:33,SOL/USD,S,59959,142.72000,-0.51
2025-03-04 19:15:34,ADA/USD,S,124351,0.948759,-0.61
2025-03-04 19:15:41,SOL/USD,S,53638,142.50000,0.23
2025-03-04 19:16:13,XBT/USD,B,111522,88035.60000,-0.00
2025-03-04 19:16:42,XBT/USD,B,123194,88155.30000,-0.14
2025-03-04 19:17:39,SOL/USD,B,66202,142.92000,0.06
2025-03-04 19:18:05,ETH/USD,S,95235,2162.00000,-0.26
2025-03-04 19:18:22,XBT/USD,S,126933,88280.00000,-0.28
2025-03-04 19:19:17,ETH/USD,B,178000,2162.37000,0.09
2025-03-04 19:19:37,XBT/USD,S,140534,88114.40000,-0.09
2025-03-04 19:19:37,ADA/USD,S,109693,0.939414,0.38
2025-03-04 19:19:39,XRP/USD,S,71870,2.50645000,0.00
2025-03-04 19:19:39,XRP/USD,S,62563,2.50624000,0.00
2025-03-04 19:20:07,XBT/USD,S,123463,88019.40000,0.02
2025-03-04 19:20:14,SOL/USD,S,58206,142.34000,0.41
2025-03-04 19:20:19,XBT/USD,S,123108,87927.80000,0.26
2025-03-04 19:20:19,XBT/USD,S,250000,87917.40000,0.41
2025-03-04 19:21:06,XBT/USD,B,102060,88184.10000,-0.08
2025-03-04 19:22:55,SOL/USD,B,50001,142.67000,0.04
2025-03-04 19:22:55,SOL/USD,B,70101,142.74000,-0.17
2025-03-04 19:22:55,SOL/USD,B,83282,142.76000,0.11
2025-03-04 19:23:04,XBT/USD,S,199967,88149.80000,-0.15
2025-03-04 19:23:04,XBT/USD,S,165633,88149.80000,-0.25
2025-03-04 19:23:04,XBT/USD,S,250000,88149.50000,-0.26
2025-03-04 19:23:04,XBT/USD,S,500000,88142.40000,0.05
2025-03-04 19:23:04,XBT/USD,S,123216,88134.90000,0.02
2025-03-04 19:23:42,XBT/USD,B,123359,88375.50000,-0.26
2025-03-04 19:26:10,XRP/USD,B,46000,2.50971000,-2.19
2025-03-04 19:26:10,XRP/USD,B,46000,2.51014000,-1.22
2025-03-04 19:26:10,XRP/USD,B,46000,2.51046000,-0.16
2025-03-04 19:26:10,XRP/USD,B,46000,2.51055000,-0.17
2025-03-04 19:26:21,XBT/USD,S,410220,88192.00000,-0.05
2025-03-04 19:26:26,ADA/USD,S,79575,0.931004,2.00
2025-03-04 19:27:19,XBT/USD,B,236231,88014.70000,0.14
2025-03-04 19:30:29,XBT/USD,S,199948,87748.60000,0.44
2025-03-04 19:30:40,XBT/USD,S,168627,87902.00000,0.54
2025-03-04 19:30:40,XBT/USD,S,250000,87902.00000,0.33
2025-03-04 19:30:40,XBT/USD,S,174537,87901.10000,0.13
2025-03-04 19:30:57,XBT/USD,S,107933,87936.80000,-0.21
2025-03-04 19:30:57,XBT/USD,S,142067,87936.80000,-0.04
2025-03-04 19:30:57,XBT/USD,S,250000,87935.60000,-0.04
2025-03-04 19:30:57,XBT/USD,S,111849,87934.90000,-0.04
2025-03-04 19:30:57,XBT/USD,S,138151,87934.90000,0.00
2025-03-04 19:30:57,XBT/USD,S,303693,87933.50000,0.00
2025-03-04 19:31:08,XBT/USD,S,108161,87911.00000,0.03
2025-03-04 19:31:08,XBT/USD,S,109662,87911.00000,0.03
2025-03-04 19:32:15,SOL/USD,B,50002,141.86000,0.34
2025-03-04 19:33:39,XBT/USD,S,203277,87645.60000,0.33
2025-03-04 19:35:23,ETH/USD,B,154000,2146.37000,0.83
2025-03-04 19:36:31,XBT/USD,B,110649,87800.00000,0.15
2025-03-04 19:36:32,XBT/USD,B,134950,87800.00000,0.13
2025-03-04 19:36:32,XBT/USD,B,153648,87800.00000,0.13
2025-03-04 19:36:32,XBT/USD,B,153782,87800.00000,-0.18
2025-03-04 19:36:37,XBT/USD,B,102860,87800.00000,0.00
2025-03-04 19:36:37,XBT/USD,B,105093,87800.00000,0.00
2025-03-04 19:36:37,XBT/USD,B,107581,87800.00000,0.00
2025-03-04 19:37:29,XBT/USD,B,167200,88000.00000,-0.23
2025-03-04 19:43:30,SOL/USD,B,50000,142.99000,-0.22
2025-03-04 19:46:32,XBT/USD,B,112368,88000.00000,-0.23
2025-03-04 19:46:32,XBT/USD,B,124625,88000.00000,-0.23
2025-03-04 19:46:32,XBT/USD,B,131244,88000.00000,-0.23
2025-03-04 19:46:32,XBT/USD,B,122458,88000.00000,0.00
2025-03-04 19:46:32,XBT/USD,B,122275,88000.00000,0.00
2025-03-04 19:47:20,SOL/USD,S,51731,143.00000,-0.18
2025-03-04 19:48:39,XBT/USD,S,114891,87900.00000,0.11
2025-03-04 19:48:56,SOL/USD,S,71259,142.54000,0.15
